alfa,tolerancia,sesgo,precision_train,precision_train_std,precision_test,precision_test_std,ecm_test,ecm_test_std
0.001,0.001,-0.5,78.346,1.3635,76.786,4.682,0.925,0.187457
0.001,0.001,0.0,77.94,1.1894,76.608,2.4783,0.917857,0.106845
0.001,0.001,0.5,79.15,1.1332,76.072,3.7554,0.942857,0.145292
0.001,0.005,-0.5,61.7,4.3718,60.712,3.6805,1.442857,0.106695
0.001,0.005,0.0,49.534,25.7939,50.534,23.3387,1.457143,0.255238
0.001,0.005,0.5,54.454,4.6756,57.502,9.1189,1.410714,0.249681
0.001,0.01,-0.5,45.548,22.4701,43.216,22.5681,1.625,0.226933
0.001,0.01,0.0,43.892,16.9165,42.498,19.1979,1.646429,0.291077
0.001,0.01,0.5,39.82,24.528,42.142,27.6233,1.535714,0.327327
0.001,0.05,-0.5,45.996,23.115,40.358,22.1272,1.785714,0.27287
0.001,0.05,0.0,57.134,6.6516,57.324,6.42,1.428572,0.148869
0.001,0.05,0.5,33.332,28.2937,33.214,28.4126,1.717857,0.302097
0.005,0.001,-0.5,77.716,0.5145,79.82,1.6212,0.803571,0.064385
0.005,0.001,0.0,77.046,0.7188,77.5,4.9474,0.871429,0.154853
0.005,0.001,0.5,77.584,1.1207,72.678,2.9997,1.039286,0.110368
0.005,0.005,-0.5,77.674,1.1566,75.892,4.3273,0.914286,0.170065
0.005,0.005,0.0,78.03,0.7969,73.748,3.8183,0.982143,0.134226
0.005,0.005,0.5,76.868,1.6795,76.606,2.8537,0.875,0.0828
0.005,0.01,-0.5,63.802,2.9834,65.0,4.9443,1.332143,0.218559
0.005,0.01,0.0,63.49,1.8111,66.43,4.0739,1.275,0.142074
0.005,0.01,0.5,62.776,3.1769,62.142,5.4153,1.385714,0.13809
0.005,0.05,-0.5,64.652,3.3517,61.786,4.6561,1.428571,0.214657
0.005,0.05,0.0,64.79,2.7047,63.216,1.938,1.4,0.103047
0.005,0.05,0.5,63.894,1.5694,61.25,6.4593,1.453571,0.252728
0.01,0.001,-0.5,76.242,1.1966,77.858,3.7031,0.814286,0.142634
0.01,0.001,0.0,73.512,1.9928,77.5,2.7798,0.792857,0.117505
0.01,0.001,0.5,75.748,1.7722,74.286,7.4004,0.925,0.208783
0.01,0.005,-0.5,77.358,1.3657,73.928,4.2554,0.989286,0.1279
0.01,0.005,0.0,75.526,1.6777,75.18,1.9373,0.917857,0.098295
0.01,0.005,0.5,75.08,1.291,75.18,3.6479,0.921429,0.111231
0.01,0.01,-0.5,76.106,2.1127,78.036,5.3034,0.821428,0.211665
0.01,0.01,0.0,77.36,1.3713,77.678,5.9224,0.875,0.227985
0.01,0.01,0.5,74.676,1.7788,75.534,4.5364,0.867857,0.125382
0.01,0.05,-0.5,65.772,1.0138,62.322,3.3037,1.417857,0.146494
0.01,0.05,0.0,60.94,6.6592,62.144,8.0007,1.289286,0.241699
0.01,0.05,0.5,63.848,2.2821,65.536,2.2409,1.278571,0.132191
0.05,0.001,-0.5,74.228,0.927,73.926,5.4083,0.946428,0.175419
0.05,0.001,0.0,72.974,5.6137,75.002,3.6281,0.846429,0.07845
0.05,0.001,0.5,71.454,6.2015,67.142,8.0459,1.075,0.14419
0.05,0.005,-0.5,74.81,1.9376,74.286,5.2994,0.960714,0.12589
0.05,0.005,0.0,68.366,9.9223,70.356,7.0127,0.910714,0.056469
0.05,0.005,0.5,72.304,2.4425,68.93,6.1684,1.021429,0.211816
0.05,0.01,-0.5,69.62,7.3776,67.5,6.5182,1.028571,0.09666
0.05,0.01,0.0,72.664,2.9476,73.93,6.1024,0.917857,0.192576
0.05,0.01,0.5,73.378,3.4108,74.284,4.4365,0.914286,0.093132
0.05,0.05,-0.5,67.47,5.5255,63.93,5.0732,1.1,0.106096
0.05,0.05,0.0,75.124,1.9083,72.858,2.4944,0.989286,0.048247
0.05,0.05,0.5,73.378,6.4769,72.142,5.6264,0.914286,0.120055
0.1,0.001,-0.5,60.446,9.3229,60.0,15.6106,1.110714,0.296235
0.1,0.001,0.0,68.41,7.3665,67.322,9.3979,1.017857,0.115036
0.1,0.001,0.5,69.53,6.7809,66.07,9.1913,1.028571,0.143191
0.1,0.005,-0.5,68.994,4.9922,68.214,3.4346,1.028571,0.077427
0.1,0.005,0.0,59.554,9.7666,58.216,8.6895,1.067857,0.120055
0.1,0.005,0.5,68.592,7.7746,68.928,6.6333,0.971428,0.133392
0.1,0.01,-0.5,56.376,13.663,53.75,15.2647,1.142857,0.209012
0.1,0.01,0.0,70.694,6.0921,69.286,4.8302,1.089286,0.148332
0.1,0.01,0.5,69.622,6.3674,68.928,9.9294,1.007143,0.203054
0.1,0.05,-0.5,66.22,3.4829,69.286,2.3289,0.882143,0.060028
0.1,0.05,0.0,63.982,13.0792,65.0,11.7646,0.978571,0.086011
0.1,0.05,0.5,71.052,6.0443,67.678,5.1431,1.017857,0.106396
