alfa,umbral,sesgo,precision_train,precision_train_std,precision_test,precision_test_std,ecm_test,ecm_test_std
0.01,0.05,-0.5,49.664,5.1312,50.534,3.8172,0.783036,0.115409
0.01,0.05,0.0,52.754,4.7929,51.426,3.818,0.688393,0.08222
0.01,0.05,0.5,50.742,6.8512,47.144,5.446,0.777679,0.168298
0.01,0.1,-0.5,44.342,5.9353,46.43,7.2261,0.724107,0.094301
0.01,0.1,0.0,43.31,10.2217,42.322,8.9649,0.792857,0.078766
0.01,0.1,0.5,48.144,8.0423,46.248,9.1355,0.733036,0.053048
0.01,0.2,-0.5,46.264,3.4738,43.392,2.9997,0.742857,0.104583
0.01,0.2,0.0,43.668,5.6978,43.75,5.6107,0.729464,0.046459
0.01,0.2,0.5,43.67,5.2159,44.644,6.592,0.721429,0.045919
0.01,0.5,-0.5,44.922,4.6085,47.142,6.7249,0.674107,0.047034
0.01,0.5,0.0,48.008,3.5835,48.392,2.7804,0.758928,0.067778
0.01,0.5,0.5,47.606,3.6962,44.464,5.8998,0.777678,0.156007
0.05,0.05,-0.5,33.69,15.6243,32.502,14.4883,1.146429,0.180746
0.05,0.05,0.0,50.874,12.2454,49.286,7.9481,0.929464,0.052004
0.05,0.05,0.5,44.966,4.7006,42.142,7.0702,0.976786,0.194681
0.05,0.1,-0.5,41.25,18.4541,40.714,18.3602,0.970536,0.103865
0.05,0.1,0.0,40.31,18.686,39.464,15.5081,0.963393,0.122885
0.05,0.1,0.5,49.128,12.4819,44.464,15.1833,0.903571,0.177272
0.05,0.2,-0.5,46.488,5.5396,50.356,10.6497,0.678572,0.079984
0.05,0.2,0.0,43.134,6.2026,45.534,5.0887,0.802679,0.092917
0.05,0.2,0.5,42.282,10.195,44.822,12.0359,0.728571,0.155656
0.05,0.5,-0.5,45.684,8.3858,48.928,6.6029,0.677678,0.087732
0.05,0.5,0.0,47.92,4.255,43.214,7.4859,0.808928,0.094407
0.05,0.5,0.5,49.622,6.5628,52.322,4.4485,0.678571,0.109943
0.1,0.05,-0.5,58.208,7.2583,60.894,8.823,0.979464,0.170539
0.1,0.05,0.0,40.538,13.6394,41.606,14.4722,1.119643,0.203784
0.1,0.05,0.5,60.044,7.8077,57.5,10.5014,0.995536,0.241464
0.1,0.1,-0.5,49.04,12.8144,47.856,15.2147,0.969643,0.084727
0.1,0.1,0.0,55.616,7.418,52.856,11.1395,0.846429,0.102708
0.1,0.1,0.5,55.48,8.0184,53.036,9.9164,0.959822,0.199324
0.1,0.2,-0.5,45.592,14.0355,43.928,16.9084,0.927679,0.14322
0.1,0.2,0.0,42.148,24.2361,41.608,23.545,0.908036,0.20325
0.1,0.2,0.5,47.562,8.617,46.964,9.1419,0.780357,0.128514
0.1,0.5,-0.5,49.038,6.5311,48.216,7.2807,0.779464,0.106424
0.1,0.5,0.0,39.062,7.5368,42.14,8.0694,0.760714,0.072577
0.1,0.5,0.5,45.772,10.6547,43.928,14.7601,0.749107,0.0839
0.3,0.05,-0.5,47.964,21.111,47.322,24.3942,1.171429,0.307754
0.3,0.05,0.0,51.72,12.9775,44.82,14.4448,1.224107,0.177968
0.3,0.05,0.5,49.306,16.0912,50.0,14.576,1.23125,0.160882
0.3,0.1,-0.5,50.29,14.1947,47.676,12.8702,1.166071,0.15437
0.3,0.1,0.0,57.538,8.0595,60.0,7.7199,0.945536,0.049249
0.3,0.1,0.5,63.268,5.4271,63.93,2.8674,0.863393,0.171122
0.3,0.2,-0.5,48.726,19.9912,46.25,20.6579,1.185714,0.258902
0.3,0.2,0.0,47.56,15.7415,44.82,17.7285,1.045536,0.197097
0.3,0.2,0.5,59.014,8.0241,61.964,6.3313,0.908036,0.125302
0.3,0.5,-0.5,41.788,9.159,41.074,8.3522,0.879464,0.091762
0.3,0.5,0.0,48.01,7.1598,52.5,8.5252,0.773214,0.158133
0.3,0.5,0.5,44.878,11.4812,46.428,15.6828,0.75625,0.180503
0.5,0.05,-0.5,49.172,6.2117,50.0,4.8086,1.248214,0.201897
0.5,0.05,0.0,51.186,12.5457,49.822,8.0953,1.186607,0.066171
0.5,0.05,0.5,56.734,15.5225,54.644,16.8498,1.16875,0.3466
0.5,0.1,-0.5,51.23,18.8658,46.25,18.1611,1.263393,0.276047
0.5,0.1,0.0,41.074,17.5585,41.25,17.1229,1.235715,0.166363
0.5,0.1,0.5,61.032,20.192,60.182,19.5266,1.041964,0.25428
0.5,0.2,-0.5,47.428,11.534,48.394,13.9518,1.072322,0.156422
0.5,0.2,0.0,50.29,10.9405,51.25,14.2661,0.991071,0.192353
0.5,0.2,0.5,51.5,15.2159,53.748,12.9759,0.99375,0.190835
0.5,0.5,-0.5,45.862,15.4973,43.572,19.5165,0.914286,0.242871
0.5,0.5,0.0,52.036,7.0388,50.714,10.3834,0.784821,0.127658
0.5,0.5,0.5,54.988,8.4807,52.858,5.6614,0.958036,0.216013
