red,parametro_variado,valor_parametro,precision_train,precision_train_std,precision_test,precision_test_std,ecm_test,ecm_test_std
Perceptron,alfa,0.01,91.86,1.7255,92.19,2.4658,0.113809,0.048075
Perceptron,alfa,0.05,89.204,3.7827,89.81,3.3426,0.125714,0.027063
Perceptron,alfa,0.1,93.5,1.7197,92.572,2.2721,0.118095,0.036211
Perceptron,alfa,0.3,87.73,7.4061,85.524,7.6144,0.266667,0.113527
Perceptron,alfa,0.5,95.256,1.0743,94.95,1.451,0.130953,0.028917
Perceptron,umbral,0.05,93.048,2.4162,92.19,1.9233,0.175238,0.041907
Perceptron,umbral,0.1,90.594,4.8266,89.426,6.1746,0.161905,0.063954
Perceptron,umbral,0.2,93.21,1.4856,92.288,1.7938,0.129048,0.016615
Perceptron,umbral,0.5,93.088,1.666,91.24,1.5276,0.135238,0.027376
Perceptron,umbral,1.0,92.432,0.8558,91.524,2.4819,0.133333,0.025919
Perceptron,sesgo,-1.0,92.146,1.07,92.952,2.0592,0.097143,0.031917
Perceptron,sesgo,-0.5,92.232,2.0293,93.428,3.5867,0.11381,0.038664
Perceptron,sesgo,0.0,91.454,5.08,90.094,4.931,0.142381,0.021455
Perceptron,sesgo,0.5,93.988,1.3147,92.094,1.7065,0.16,0.020161
Perceptron,sesgo,1.0,89.04,5.7777,87.714,6.7287,0.146666,0.05738
